index,Column,translation,Question,year
247,AIDangerous,AI 态度,What do you think is the most dangerous aspect of increasingly advanced AI technology?,2018
250,AIFuture,AI 态度,"Overall, what's your take on the future of artificial intelligence?",2018
248,AIInteresting,AI 态度,What do you think is the most exciting aspect of increasingly advanced AI technology?,2018
249,AIResponsible,AI 态度,"Whose responsibility is it, <u>primarily</u>, to consider the ramifications of increasingly advanced AI technology?",2018
233,AdBlocker,广告阻塞工具,Do you have ad-blocking software installed on any computers you use regularly?,2018
234,AdBlockerDisable,广告阻塞工具,"In the past month, have you disabled your ad blocker for any reason, even temporarily or for a specific website?",2018
235,AdBlockerReasons,广告阻塞工具,What are the reasons that you have disabled your ad blocker in the past month? Please select all that apply.,2018
239,AdsActions,广告阻塞工具,Which of the following actions have you taken in the past month? Please select all that apply.,2018
236,AdsAgreeDisagree1,广告认识度,To what extent do you agree or disagree with the following statements: Online advertising can be valuable when it is relevant to me,2018
237,AdsAgreeDisagree2,广告认识度,To what extent do you agree or disagree with the following statements: I enjoy seeing online updates from companies that I like,2018
238,AdsAgreeDisagree3,广告认识度,To what extent do you agree or disagree with the following statements: I fundamentally dislike the concept of advertising,2018
240,AdsPriorities1,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is relevant to me",2018
241,AdsPriorities2,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is honest about its goals",2018
242,AdsPriorities3,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement provides useful information",2018
243,AdsPriorities4,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement seems trustworthy",2018
244,AdsPriorities5,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is from a company that I like",2018
245,AdsPriorities6,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement offers something of value, like a free trial",2018
246,AdsPriorities7,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement avoids fluffy or vague language",2018
278,Age,年龄,"What is your age? If you prefer not to answer, you may leave this question blank.",2018
216,AgreeDisagree1,其他开发者合作态度,To what extent do you agree or disagree with each of the following statements? I feel a sense of kinship or connection to other developers,2018
217,AgreeDisagree2,其他开发者合作态度,To what extent do you agree or disagree with each of the following statements? I think of myself as competing with my peers,2018
218,AgreeDisagree3,其他开发者合作态度,To what extent do you agree or disagree with each of the following statements? I'm not as good at programming as most of my peers,2018
35,AnnoyingUI,软件 UI 重要性,It annoys me when software has a poor UI,2017
181,AssessBenefits1,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Salary and/or bonuses",2018
190,AssessBenefits10,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Transportation benefit (ex. company-provided transportation, public transit allowance)",2018
191,AssessBenefits11,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Conference or education budget",2018
182,AssessBenefits2,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Stock options or shares",2018
183,AssessBenefits3,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Health insurance",2018
184,AssessBenefits4,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Parental leave",2018
185,AssessBenefits5,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Fitness or wellness benefit (ex. gym membership, nutritionist)",2018
186,AssessBenefits6,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Retirement or pension savings matching",2018
187,AssessBenefits7,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Company-provided meals or snacks",2018
188,AssessBenefits8,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Computer/office equipment allowance",2018
189,AssessBenefits9,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Childcare benefit",2018
171,AssessJob1,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The industry that I'd be working in",2018
180,AssessJob10,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. How widely used or impactful the product or service I'd be working on is",2018
172,AssessJob2,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The financial performance or funding status of the company or organization",2018
173,AssessJob3,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The specific department or team I'd be working on",2018
174,AssessJob4,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The languages, frameworks, and other technologies I'd be working with",2018
175,AssessJob5,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The compensation and benefits offered",2018
176,AssessJob6,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The office environment or company culture",2018
177,AssessJob7,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The opportunity to work from home/remotely",2018
178,AssessJob8,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. Opportunities for professional development",2018
179,AssessJob9,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The diversity of the company or organization",2018
57,AssessJobCommute,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The amount of time I'd have to spend commuting",2017
